restaurant_id,name,cuisine,rating,price_range,location,category,reviews_count,features,image_url
29,Foster-Le,Indian,4.6,$$,Houston,Indian Dining & Bistro,568,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
30,Ward Ltd,Japanese,4.2,$$,New York,Japanese Dining & Bistro,529,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
31,"Smith, White and Myers",American,4.6,$,New York,American Dining & Bistro,1706,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
32,"Nelson, Perry and Murphy",Mexican,5.0,$$$$,Los Angeles,Mexican Dining & Bistro,546,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
33,Cruz-Clark,Thai,4.1,$$$,Chicago,Thai Dining & Bistro,1620,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
34,Freeman and Sons,French,3.9,$$$$,New York,French Dining & Bistro,1558,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
35,"Camacho, Brown and Garcia",Italian,4.1,$$$$,Houston,Italian Dining & Bistro,1233,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
36,"Klein, Campos and Howard",French,3.8,$$$,New York,French Dining & Bistro,327,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
37,"Cunningham, Marsh and Carey",Italian,4.1,$,Houston,Italian Dining & Bistro,2031,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
38,"Roberts, Greene and Palmer",Chinese,3.6,$$$$,San Francisco,Chinese Dining & Bistro,661,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
39,Davis PLC,French,3.0,$$$$,San Francisco,French Dining & Bistro,1700,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
40,Horton Group,Mexican,2.8,$$,Houston,Mexican Dining & Bistro,472,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
41,Martinez-Young,Italian,2.7,$$$$,Chicago,Italian Dining & Bistro,1350,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
42,Harrison Inc,Indian,3.2,$$$,New York,Indian Dining & Bistro,1631,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
43,Riley-Singh,Mexican,2.6,$$,New York,Mexican Dining & Bistro,937,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
44,Crawford Inc,Indian,3.9,$,San Francisco,Indian Dining & Bistro,434,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
45,Tucker-Koch,French,3.2,$$,Houston,French Dining & Bistro,337,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
46,"Vang, Curry and Dalton",Indian,4.6,$$$,New York,Indian Dining & Bistro,1083,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
47,"Lin, Cherry and Patel",Italian,2.7,$$$,New York,Italian Dining & Bistro,1335,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
48,Stevenson Group,Mexican,3.1,$$,Chicago,Mexican Dining & Bistro,476,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
49,Robinson LLC,Thai,4.3,$,Los Angeles,Thai Dining & Bistro,1103,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
50,"Wilcox, Martinez and Carter",American,4.0,$$,San Francisco,American Dining & Bistro,563,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
51,Grant-Murray,Italian,2.7,$,San Francisco,Italian Dining & Bistro,1706,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
52,Roberts-Johnson,Italian,4.7,$$,Los Angeles,Italian Dining & Bistro,1288,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
53,"Rodriguez, Mccoy and Key",Thai,4.7,$$$,New York,Thai Dining & Bistro,2007,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
54,Davis-Rose,Mexican,3.3,$$$$,Chicago,Mexican Dining & Bistro,1644,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
55,Lucas Inc,Mexican,3.4,$$$$,Chicago,Mexican Dining & Bistro,816,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
56,Hoover-Wagner,Japanese,5.0,$,San Francisco,Japanese Dining & Bistro,1666,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
57,Blair-Simpson,French,4.1,$,Chicago,French Dining & Bistro,1605,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
58,Nguyen Inc,Indian,3.8,$,Los Angeles,Indian Dining & Bistro,1008,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
59,Avila Inc,French,4.6,$$$,New York,French Dining & Bistro,1243,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
60,Romero Inc,Thai,3.2,$$,Los Angeles,Thai Dining & Bistro,442,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
61,Campbell-Cortez,French,3.6,$$$,Houston,French Dining & Bistro,850,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
62,"Hernandez, Patterson and Hamilton",Thai,3.2,$$$$,San Francisco,Thai Dining & Bistro,1152,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
63,"Mejia, Webb and Collins",Mexican,4.5,$,Chicago,Mexican Dining & Bistro,819,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
64,"Blankenship, Lee and Cooper",Indian,3.9,$$,Houston,Indian Dining & Bistro,2043,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
65,Miller-Jarvis,French,4.1,$$$$,Chicago,French Dining & Bistro,1704,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
66,Zimmerman-Haynes,Italian,3.1,$$$$,New York,Italian Dining & Bistro,1255,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
67,"Reed, Hull and Gonzales",Chinese,3.1,$$$$,New York,Chinese Dining & Bistro,1049,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
68,Anthony-Alvarado,Japanese,3.7,$$$,New York,Japanese Dining & Bistro,1478,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
69,Reyes-Williams,American,4.3,$,Chicago,American Dining & Bistro,379,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
70,"Anderson, Hawkins and Conley",Italian,3.8,$$$$,Houston,Italian Dining & Bistro,1088,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
71,"Burnett, Clark and Gutierrez",Mexican,2.6,$,New York,Mexican Dining & Bistro,281,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
72,"Newman, Gallagher and Kennedy",American,4.7,$$$,Houston,American Dining & Bistro,1442,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
73,Lopez and Sons,Chinese,2.7,$$$$,Chicago,Chinese Dining & Bistro,1793,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
74,Wright Group,Chinese,4.9,$$$,Houston,Chinese Dining & Bistro,1246,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
75,Bates-Lopez,Indian,2.6,$$$,Chicago,Indian Dining & Bistro,421,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
76,"Bowers, Robbins and Harrell",American,4.2,$,Chicago,American Dining & Bistro,1014,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
77,"Russell, Kelly and Duncan",Indian,2.7,$$$$,San Francisco,Indian Dining & Bistro,1438,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
78,"Blackburn, Elliott and Ward",Italian,4.8,$$$,Chicago,Italian Dining & Bistro,1020,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
79,"Martinez, Abbott and Stewart",Thai,3.7,$$$$,Chicago,Thai Dining & Bistro,2194,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
80,Santos and Sons,Thai,2.8,$,Los Angeles,Thai Dining & Bistro,1770,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
81,Baker Inc,Thai,3.4,$$$,New York,Thai Dining & Bistro,2029,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
82,Dalton and Sons,American,2.9,$,San Francisco,American Dining & Bistro,735,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
83,Sutton-Garcia,Thai,2.9,$$$$,San Francisco,Thai Dining & Bistro,1234,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
84,"Thomas, Marsh and Shields",Italian,4.9,$$$$,San Francisco,Italian Dining & Bistro,721,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
85,Smith-Cole,Indian,3.6,$,Los Angeles,Indian Dining & Bistro,1160,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
86,"Daniels, Bright and Chung",American,4.5,$$,Chicago,American Dining & Bistro,1226,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
87,Garcia Ltd,Indian,4.1,$$$,New York,Indian Dining & Bistro,1904,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
88,Palmer LLC,American,4.2,$$$$,Houston,American Dining & Bistro,1785,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
89,"Martin, Shields and Torres",Indian,2.8,$$$$,Chicago,Indian Dining & Bistro,1632,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
90,Allen Inc,Chinese,3.1,$$$,Los Angeles,Chinese Dining & Bistro,1048,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
91,Armstrong-Martin,Indian,4.5,$,Chicago,Indian Dining & Bistro,716,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
92,Sanchez Inc,Thai,4.9,$,Chicago,Thai Dining & Bistro,2171,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
93,"Tucker, Bailey and Perry",Chinese,3.2,$,Los Angeles,Chinese Dining & Bistro,522,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
94,Hayes PLC,Indian,3.2,$$,San Francisco,Indian Dining & Bistro,342,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
95,Sampson-Li,American,3.7,$$,San Francisco,American Dining & Bistro,599,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
96,Herrera LLC,American,5.0,$$$$,New York,American Dining & Bistro,776,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
97,"Lindsey, Hamilton and White",Japanese,3.2,$,New York,Japanese Dining & Bistro,805,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
98,"Smith, Sanchez and Moran",American,3.5,$$$,San Francisco,American Dining & Bistro,1879,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
99,Huff-Kirk,Mexican,4.7,$$$$,Houston,Mexican Dining & Bistro,410,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
100,Bishop-Waller,Italian,2.5,$$$,Chicago,Italian Dining & Bistro,1726,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
101,Gutierrez and Sons,American,2.6,$$$$,Houston,American Dining & Bistro,1713,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
102,"Figueroa, Sanford and Dennis",Chinese,4.0,$$,Chicago,Chinese Dining & Bistro,2067,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
103,Scott-Reid,Japanese,4.8,$$$$,San Francisco,Japanese Dining & Bistro,1179,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
104,Morton-Schneider,American,3.1,$$,New York,American Dining & Bistro,197,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
105,Taylor-Cooke,Mexican,3.7,$$$$,New York,Mexican Dining & Bistro,619,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
106,"Smith, Stein and Wallace",Thai,3.6,$,Houston,Thai Dining & Bistro,1242,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
107,"Newman, Ferguson and Ford",Chinese,3.7,$$$,New York,Chinese Dining & Bistro,1543,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
108,Mcgee-Cox,Mexican,4.1,$,San Francisco,Mexican Dining & Bistro,606,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
109,Cuevas Ltd,Thai,3.7,$$$$,Houston,Thai Dining & Bistro,1352,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
110,Smith Group,French,3.6,$$$$,Chicago,French Dining & Bistro,1930,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
111,Kelly LLC,French,3.7,$$$$,New York,French Dining & Bistro,797,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
112,Elliott-Black,Chinese,4.0,$$,Los Angeles,Chinese Dining & Bistro,2008,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
113,Gilbert-Martin,Indian,3.8,$$$,New York,Indian Dining & Bistro,163,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
114,Morgan-Clark,Italian,4.6,$$$,Chicago,Italian Dining & Bistro,1228,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
115,"Maynard, Huff and Jackson",Japanese,2.6,$$$$,Houston,Japanese Dining & Bistro,2200,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
116,"Lloyd, Ewing and Gregory",Italian,4.6,$$$$,Chicago,Italian Dining & Bistro,881,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
117,Poole and Sons,Mexican,4.6,$$,Los Angeles,Mexican Dining & Bistro,585,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
118,Erickson-Gray,Thai,3.2,$,San Francisco,Thai Dining & Bistro,1372,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
119,"Schaefer, Clark and Perkins",Italian,3.7,$,New York,Italian Dining & Bistro,964,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
120,Clark-Lewis,Thai,3.6,$$$,Houston,Thai Dining & Bistro,776,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
121,"Brown, Johnson and Zimmerman",Thai,3.0,$$,San Francisco,Thai Dining & Bistro,1681,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
122,Garner and Sons,Mexican,3.5,$$$$,Chicago,Mexican Dining & Bistro,811,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
123,Baker Group,Mexican,2.6,$$$,Houston,Mexican Dining & Bistro,152,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
124,"Chavez, Aguilar and Howard",Mexican,3.2,$$,San Francisco,Mexican Dining & Bistro,1477,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
125,"Pearson, Martin and Torres",Italian,4.5,$,Houston,Italian Dining & Bistro,2151,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
126,Hartman PLC,French,3.2,$$,Los Angeles,French Dining & Bistro,229,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
127,Watson and Sons,Mexican,4.5,$,Los Angeles,Mexican Dining & Bistro,608,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
128,Briggs-Olsen,Japanese,3.8,$$,New York,Japanese Dining & Bistro,1636,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
129,"Garcia, Johnson and Whitney",Italian,4.7,$$$,New York,Italian Dining & Bistro,1409,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
130,"Cox, Johnson and Wood",Mexican,3.9,$,Los Angeles,Mexican Dining & Bistro,1130,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
131,Velez-Lambert,American,2.6,$$$,Houston,American Dining & Bistro,387,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
132,"Fisher, Estes and Bowman",Thai,4.2,$$$,Los Angeles,Thai Dining & Bistro,1136,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
133,"Parker, Cox and Sims",Japanese,2.6,$,New York,Japanese Dining & Bistro,472,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
134,Mccarthy-Banks,Mexican,3.6,$,Los Angeles,Mexican Dining & Bistro,500,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
135,Foster-Henderson,Chinese,4.8,$$$$,Los Angeles,Chinese Dining & Bistro,2140,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
136,Lee-Kelley,Thai,2.9,$$$$,Houston,Thai Dining & Bistro,433,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
137,Duffy LLC,Thai,3.5,$$$$,San Francisco,Thai Dining & Bistro,665,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
138,"Patel, Floyd and Hunter",Mexican,4.3,$$$,New York,Mexican Dining & Bistro,675,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
139,"Johnson, Mccall and Jackson",French,4.7,$$$,Houston,French Dining & Bistro,2096,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
